epoch,train_loss,train_cost,val_cost,learning_rate,temperature,baseline_type,baseline_value
53,-4.565710636228459e-08,0.7799066404265104,,6.848893065777072e-05,0.8,rollout,
54,4.3195077144749423e-14,0.7793990013348433,,6.616267409945938e-05,0.8,rollout,
55,3.2748687317507574e-09,0.7816004014664137,,6.384563235450284e-05,0.8,rollout,
56,7.563889958817072e-10,0.7899318626529386,0.8035887824515251,6.154009206336356e-05,0.8,rollout,0.6114755272865295
57,9.423895175331153e-09,0.7985270093836638,,5.924832851595765e-05,0.8,rollout,
58,-9.218463029962247e-12,0.8013176483688655,,5.697260340621836e-05,0.8,rollout,
59,6.0391876697707405e-06,0.8027459599395205,,5.471516260007747e-05,0.8,rollout,
60,-5.5869277145366896e-08,0.8041586344999264,0.8210658244644908,5.2478233919066484e-05,0.8,rollout,
61,-2.5964965653990646e-05,0.8066414648674005,,5.026402494172584e-05,0.8,rollout,
62,-1.4447702293788703e-14,0.8021128006937462,,4.807472082499156e-05,0.8,rollout,
63,9.589815213632373e-05,0.800301045281182,,4.591248214770888e-05,0.8,rollout,
64,-2.6165274391587444e-10,0.796392679112684,0.8060642400142923,4.377944277840213e-05,0.8,rollout,0.6117956638336182
65,-1.9749725114574328e-09,0.7978878576079017,,4.167770776940381e-05,0.8,rollout,
66,-5.571024382552044e-10,0.8055249901805429,,3.960935127942224e-05,0.8,rollout,
67,-4.8072961885736734e-05,0.8103761781198383,,3.7576414526597375e-05,0.8,rollout,
68,1.4633325662316565e-09,0.8200937877213997,0.8261203598013407,3.558090377406477e-05,0.8,rollout,
69,2.797644781219096e-05,0.8299873212305904,,3.36247883500163e-05,0.8,rollout,
70,-4.796163466380676e-14,0.8414002354347105,,3.170999870421079e-05,0.8,rollout,
71,-1.2612133559741778e-14,0.8372080197654815,,2.9838424502853277e-05,0.8,rollout,
72,2.1797823279712247e-07,0.8366148968864178,0.8241891490344919,2.8011912763722647e-05,0.8,rollout,0.6124939322471619
73,9.710750722054703e-15,0.839776231874738,,2.623226603338798e-05,0.8,rollout,
74,1.0251343477799916e-10,0.8384885163437215,,2.4501240608312718e-05,0.8,rollout,
75,2.7588518987009537e-05,0.8353177187222768,,2.282054480160224e-05,0.8,rollout,
76,-7.934393882654452e-15,0.8359985416394938,0.8195097209326756,2.1191837257104878e-05,0.8,rollout,
77,-2.6763776380297107e-14,0.827689618628455,,1.961672531253078e-05,0.8,rollout,
78,6.655944921144888e-07,0.8295885012340113,,1.8096763413203727e-05,0.8,rollout,
79,-4.14275132717042e-11,0.8317465393114583,,1.663345157801108e-05,0.8,rollout,
80,-9.473903143468002e-16,0.831760792798462,0.8498181197076715,1.5228233919066438e-05,0.8,rollout,0.6123835444450378
81,2.3491724397750602e-05,0.8287797104050703,,1.3882497216545165e-05,0.8,rollout,
82,2.8387914596805784e-08,0.8379041261403037,,1.2597569550099906e-05,0.8,rollout,
83,9.598147051903539e-06,0.8285896657057499,,1.1374718988206201e-05,0.8,rollout,
84,1.1321247761486575e-07,0.8246971067836684,0.840614371307073,1.0215152336732174e-05,0.8,rollout,
85,-2.6605146411876983e-08,0.8215227129303267,,9.12001394796661e-06,0.8,rollout,
86,-1.6428229926468418e-05,0.8278471982472502,,8.090384591281565e-06,0.8,rollout,
87,-3.4935017841538257e-15,0.8289514379338137,,7.127280386543428e-06,0.8,rollout,
88,-3.974400980174171e-08,0.8330796634214365,0.8251345132608814,6.231651801325279e-06,0.8,rollout,0.612409234046936
