epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.458199086373051,0.6239457109371821,0.5556221903534606,0.0001,2.5,27058.894385576248,rollout,0.5477749705314636,arithmetic
1,-0.2956555449565252,0.5393792170286179,,9.997557473810373e-05,2.5,25515.335099220276,rollout,,arithmetic
2,-0.2626789104491472,0.531172234972318,0.5218906585942023,9.990232305719946e-05,2.5,24121.870577812195,rollout,0.5308365821838379,arithmetic
