epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.17239587038755416,0.6503964241345723,0.6478798764874227,0.0001,2.0,1093.6358726024628,rollout,0.8691851496696472,arithmetic
1,-0.16813385556141536,0.6429963493347168,,9.99938933078422e-05,2.0,1078.3092186450958,rollout,,arithmetic
2,-0.2189443945387999,0.5851211516062419,0.5509640100062825,9.997557473810371e-05,2.0,1072.772028684616,rollout,0.869539201259613,arithmetic
3,-0.0831829837958018,0.5616930333773295,,9.994504881061753e-05,2.0,1040.469591140747,rollout,,arithmetic
