epoch,train_loss,train_cost,val_cost,learning_rate,temperature,baseline_type,baseline_value
0,-0.8759899854660034,0.6649425266040911,0.6509910478780753,0.0003,5.0,rollout,0.6283710598945618
1,-1.0334723234176635,0.6749751307621242,,0.0002998847409179881,5.0,rollout,
2,-0.8103310227394104,0.6659999297086513,,0.0002995391413931026,5.0,rollout,0.6225898861885071
3,-1.0683269739151,0.6703252710951041,,0.00029896373431476147,5.0,rollout,
4,-0.8987263441085815,0.6615114909093351,0.6792575806358501,0.00029815940691897306,5.0,rollout,0.626571774482727
5,-0.844606876373291,0.6592101462295965,,0.00029712739942028293,5.0,rollout,
6,-0.8390440464019775,0.6637874860111956,,0.00029586930309945264,5.0,rollout,0.6042749881744385
7,-1.0584475517272949,0.671411949591282,,0.00029438705784982027,5.0,rollout,
8,-1.0617288589477538,0.6612047437610906,0.6583637544125767,0.0002926829491861255,5.0,rollout,0.6017135977745056
9,-0.9310543179512024,0.6579089087854102,,0.0002907596047204114,5.0,rollout,
10,-1.0592744588851928,0.6677500375789309,,0.00028861999011043737,5.0,rollout,0.6016173362731934
11,-0.8667966485023498,0.6536191113648844,,0.00028626740448684966,5.0,rollout,
12,-0.9909870743751525,0.6604959756015198,0.636758262740003,0.00028370547536616097,5.0,rollout,0.6022040843963623
13,-0.9353736877441406,0.6551361490591637,,0.0002809381530573832,5.0,rollout,
14,-1.1323058605194092,0.6742265662756516,,0.0002779697045709368,5.0,rollout,0.6097495555877686
15,-1.0945854663848877,0.6641163380111458,,0.00027480470703923057,5.0,rollout,
16,-1.127379333972931,0.6711765080209897,0.6523394010889274,0.00027144804065905466,5.0,rollout,0.6095491051673889
17,-0.96805819272995,0.6603597685847519,,0.0002679048811666714,4.25,rollout,
18,-0.7377062559127807,0.6357307467810875,,0.0002641806918572047,4.25,rollout,0.6032630801200867
19,-0.9639499545097351,0.6604532625336702,,0.00026028121516063503,4.25,rollout,
20,-1.0071669220924377,0.6758921888799312,0.6674688206306653,0.0002562124637873889,4.25,rollout,0.602302074432373
21,-0.7996795177459717,0.6437436280676985,,0.00025198071145717487,3.6125,rollout,
22,-1.02708238363266,0.6546504291443156,,0.00024759248322536254,3.6125,rollout,0.6031392812728882
23,-0.9035600304603577,0.6520399322754824,,0.0002430545454218202,3.6125,rollout,
24,-1.0209477186203002,0.6793329958838938,0.6709709296167179,0.00023837389521772477,3.6125,rollout,0.6036889553070068
25,-0.8869930624961853,0.6514488903550534,,0.00023355774983643056,4.154374999999999,rollout,
26,-0.7882942199707031,0.6474838742945614,,0.00022861353542503438,4.154374999999999,rollout,0.6044886708259583
27,-0.8595155954360962,0.6471490575085574,,0.00022354887560379483,4.154374999999999,rollout,
28,-0.8194268703460693,0.6502812591026714,0.6444197328630525,0.00021837157971106228,4.154374999999999,rollout,0.6047682166099548
29,-0.8829739332199097,0.6570015172194935,,0.00021308963076184555,4.777531249999998,rollout,
30,-0.9065562009811401,0.6576398775068639,,0.00020771117313858096,4.777531249999998,rollout,0.6039988994598389
31,-0.9259487509727478,0.6636367901585265,,0.00020224450003308525,4.777531249999998,rollout,
32,-0.8929990649223327,0.6697684552930434,0.6388958518076895,0.0001966980406590547,4.777531249999998,rollout,0.6048201322555542
33,-0.7971490383148193,0.6572179056852645,,0.00019108034725482865,4.060901562499998,rollout,
34,-0.7753430008888245,0.6539457696725133,,0.0001854000818964579,4.060901562499998,rollout,0.6058626174926758
35,-0.8014937758445739,0.6615871116205299,,0.00017966600314141124,4.060901562499998,rollout,
36,-0.7464665293693542,0.654913074419278,0.6455154447529579,0.00017388695252351457,4.060901562499998,rollout,0.6042188405990601
37,-0.5893261432647705,0.6414770503846512,,0.0001680718409199468,3.4517663281249984,rollout,
38,-0.6020934104919433,0.6416414719364303,,0.00016222963481131287,3.4517663281249984,rollout,0.6048668622970581
39,-0.628103744983673,0.6385896925168085,,0.0001563693424559808,3.4517663281249984,rollout,
