n_customers,solver,instance_id,status,time,cpc
20,exact_ortools_vrp,1,success,0.103546142578125,0.3741654922794886
20,exact_ortools_vrp,2,success,0.07805991172790527,0.37999711250908885
20,exact_ortools_vrp,3,success,0.0676581859588623,0.3311533819492209
20,exact_ortools_vrp,4,success,0.09013628959655762,0.2666119890070991
20,exact_ortools_vrp,5,success,0.11903238296508789,0.4075466557221336
20,exact_ortools_vrp,6,success,0.0766744613647461,0.25861732175618046
20,exact_ortools_vrp,7,success,0.11004161834716797,0.3796252179642677
20,exact_ortools_vrp,8,success,0.03612399101257324,0.2728090688479164
20,exact_ortools_vrp,9,success,0.022962331771850586,0.34041273850794596
20,exact_ortools_vrp,10,success,0.025249958038330078,0.3277588751728743
20,exact_ortools_vrp,11,success,0.026340484619140625,0.3361007702629281
20,exact_ortools_vrp,12,success,0.02095341682434082,0.3078761639813199
20,exact_ortools_vrp,13,success,0.03552389144897461,0.26799565917832585
20,exact_ortools_vrp,14,success,0.029074430465698242,0.3156687354522007
20,exact_ortools_vrp,15,success,0.021681547164916992,0.25955127638164843
20,exact_ortools_vrp,16,success,0.026633024215698242,0.35380304974255194
20,exact_ortools_vrp,17,success,0.03494691848754883,0.2646899194775921
20,exact_ortools_vrp,18,success,0.02543330192565918,0.3952692924952701
20,exact_ortools_vrp,19,success,0.02245330810546875,0.3695893154923358
20,exact_ortools_vrp,20,success,0.019894123077392578,0.27607344437841247
20,exact_ortools_vrp,21,success,0.023798704147338867,0.4916741586052936
20,exact_ortools_vrp,22,success,0.02679443359375,0.28606633198484305
20,exact_ortools_vrp,23,success,0.02092146873474121,0.30037626133746864
20,exact_ortools_vrp,24,success,0.02198648452758789,0.41564342828863204
20,exact_ortools_vrp,25,success,0.030499935150146484,0.33369620696083435
20,exact_ortools_vrp,26,success,0.02935624122619629,0.33370967007553815
20,exact_ortools_vrp,27,success,0.03433632850646973,0.3660148224143188
20,exact_ortools_vrp,28,success,0.018743038177490234,0.3981102661590674
20,exact_ortools_vrp,29,success,0.031949520111083984,0.3022322266048317
20,exact_ortools_vrp,30,success,0.022608041763305664,0.40140524537229555
20,exact_ortools_vrp,31,success,0.031050682067871094,0.3137472629536769
20,exact_ortools_vrp,32,success,0.027136564254760742,0.4124166393465103
20,exact_ortools_vrp,33,success,0.027766942977905273,0.3153399492588179
20,exact_ortools_vrp,34,success,0.03417849540710449,0.32447793307611555
20,exact_ortools_vrp,35,success,0.021579742431640625,0.2981826259383064
20,exact_ortools_vrp,36,success,0.02278876304626465,0.32771842516046606
20,exact_ortools_vrp,37,success,0.039389848709106445,0.3515299784832148
20,exact_ortools_vrp,38,success,0.025469303131103516,0.3312019465480541
20,exact_ortools_vrp,39,success,0.027544498443603516,0.41400894583258874
20,exact_ortools_vrp,40,success,0.023812532424926758,0.3132958567986087
20,exact_ortools_vrp,41,success,0.036275625228881836,0.45005074498554604
20,exact_ortools_vrp,42,success,0.027803659439086914,0.32080298301557864
20,exact_ortools_vrp,43,success,0.02684617042541504,0.2625264535609269
20,exact_ortools_vrp,44,success,0.024575233459472656,0.42374189330700734
20,exact_ortools_vrp,45,success,0.04375767707824707,0.3382179484854945
20,exact_ortools_vrp,46,success,0.03122091293334961,0.3076935592992617
20,exact_ortools_vrp,47,success,0.05905961990356445,0.2863241563155139
20,exact_ortools_vrp,48,success,0.04483652114868164,0.38630380301811057
20,exact_ortools_vrp,49,success,0.031198740005493164,0.38279946841634815
20,exact_ortools_vrp,50,success,0.03486227989196777,0.41625323813977894
20,exact_ortools_vrp,51,success,0.029331445693969727,0.3330425079395712
20,exact_ortools_vrp,52,success,0.035242557525634766,0.32114073467567084
20,exact_ortools_vrp,53,success,0.02710866928100586,0.30477882106477255
20,exact_ortools_vrp,54,success,0.023395061492919922,0.3308923412657253
20,exact_ortools_vrp,55,success,0.027172088623046875,0.41560637234025666
20,exact_ortools_vrp,56,success,0.01831507682800293,0.3662542884193059
20,exact_ortools_vrp,57,success,0.0511624813079834,0.28195078114918526
20,exact_ortools_vrp,58,success,0.038858652114868164,0.3870554061950984
20,exact_ortools_vrp,59,success,0.021396398544311523,0.2864120563173496
20,exact_ortools_vrp,60,success,0.030332565307617188,0.35183285593510494
20,exact_ortools_vrp,61,success,0.034863948822021484,0.295655145855511
20,exact_ortools_vrp,62,success,0.03184914588928223,0.32696305827916283
20,exact_ortools_vrp,63,success,0.02717137336730957,0.35888369941498055
20,exact_ortools_vrp,64,success,0.03347516059875488,0.34920066624491797
20,exact_ortools_vrp,65,success,0.020111083984375,0.34481575039762
20,exact_ortools_vrp,66,success,0.05512499809265137,0.3714617376283467
20,exact_ortools_vrp,67,success,0.020206212997436523,0.4059119374801282
20,exact_ortools_vrp,68,success,0.029228687286376953,0.37697166139907284
20,exact_ortools_vrp,69,success,0.032678842544555664,0.27680918371459307
20,exact_ortools_vrp,70,success,0.03162789344787598,0.30826944181603777
20,exact_ortools_vrp,71,success,0.023889541625976562,0.3603711005485781
20,exact_ortools_vrp,72,success,0.027837514877319336,0.3623577468744627
20,exact_ortools_vrp,73,success,0.02640390396118164,0.3521871373638619
20,exact_ortools_vrp,74,success,0.042901039123535156,0.26523871167877955
20,exact_ortools_vrp,75,success,0.03359413146972656,0.3309143364405739
20,exact_ortools_vrp,76,success,0.028494596481323242,0.3702168428980318
20,exact_ortools_vrp,77,success,0.025916337966918945,0.33485091435823505
20,exact_ortools_vrp,78,success,0.029462575912475586,0.29864157442879236
20,exact_ortools_vrp,79,success,0.024627685546875,0.39938157706348043
20,exact_ortools_vrp,80,success,0.027769804000854492,0.3253885822879785
20,exact_ortools_vrp,81,success,0.03306245803833008,0.29805244673574294
20,exact_ortools_vrp,82,success,0.035039424896240234,0.31430043439460914
20,exact_ortools_vrp,83,success,0.02318406105041504,0.4461175026339502
20,exact_ortools_vrp,84,success,0.023685455322265625,0.3066994749223893
20,exact_ortools_vrp,85,success,0.030801057815551758,0.36463623682685464
20,exact_ortools_vrp,86,success,0.026299238204956055,0.3380160093543213
20,exact_ortools_vrp,87,success,0.026148557662963867,0.3627431098470272
20,exact_ortools_vrp,88,success,0.03206801414489746,0.34246368482259093
20,exact_ortools_vrp,89,success,0.029125213623046875,0.31303920744548885
20,exact_ortools_vrp,90,success,0.024886608123779297,0.37892179479942295
20,exact_ortools_vrp,91,success,0.027904272079467773,0.31752337766952377
20,exact_ortools_vrp,92,success,0.020036697387695312,0.43975488266615825
20,exact_ortools_vrp,93,success,0.024012088775634766,0.4035954241115844
20,exact_ortools_vrp,94,success,0.02592611312866211,0.42442106031426086
20,exact_ortools_vrp,95,success,0.027718067169189453,0.34017762541883717
20,exact_ortools_vrp,96,success,0.025843143463134766,0.31675847650955996
20,exact_ortools_vrp,97,success,0.029600143432617188,0.4283998985852929
20,exact_ortools_vrp,98,success,0.030844688415527344,0.32371021422913204
20,exact_ortools_vrp,99,success,0.03225278854370117,0.3032097303328178
20,exact_ortools_vrp,100,success,0.0292966365814209,0.30317387177661076
20,exact_ortools_vrp,101,success,0.02334117889404297,0.29869677161007374
20,exact_ortools_vrp,102,success,0.029606342315673828,0.3398284904053398
20,exact_ortools_vrp,103,success,0.03165173530578613,0.3728182714565019
20,exact_ortools_vrp,104,success,0.03201699256896973,0.323218355815038
20,exact_ortools_vrp,105,success,0.025086402893066406,0.2851486058982917
20,exact_ortools_vrp,106,success,0.030726909637451172,0.3453542176119874
20,exact_ortools_vrp,107,success,0.0308377742767334,0.4202698843508433
20,exact_ortools_vrp,108,success,0.02671337127685547,0.32600956430419015
20,exact_ortools_vrp,109,success,0.02136373519897461,0.34481161471411537
20,exact_ortools_vrp,110,success,0.03281044960021973,0.38229157504431416
20,exact_ortools_vrp,111,success,0.041368722915649414,0.3149663598793467
20,exact_ortools_vrp,112,success,0.028056859970092773,0.39960258011797356
20,exact_ortools_vrp,113,success,0.02479076385498047,0.3140169029913873
20,exact_ortools_vrp,114,success,0.033442020416259766,0.381208010304489
20,exact_ortools_vrp,115,success,0.026824235916137695,0.35768060598725226
20,exact_ortools_vrp,116,success,0.021451950073242188,0.48541009181116135
20,exact_ortools_vrp,117,success,0.029282331466674805,0.26972788759870603
20,exact_ortools_vrp,118,success,0.03177332878112793,0.42231403798710765
20,exact_ortools_vrp,119,success,0.02581477165222168,0.41014501901583217
20,exact_ortools_vrp,120,success,0.035401344299316406,0.28460382699313846
20,exact_ortools_vrp,121,success,0.0304415225982666,0.4089220321408103
20,exact_ortools_vrp,122,success,0.02927684783935547,0.4022821557017471
20,exact_ortools_vrp,123,success,0.0285184383392334,0.5267723376456874
20,exact_ortools_vrp,124,success,0.03192329406738281,0.31763636000410117
20,exact_ortools_vrp,125,success,0.0233156681060791,0.2682855037938808
20,exact_ortools_vrp,126,success,0.03012871742248535,0.3932189667150503
20,exact_ortools_vrp,127,success,0.029169082641601562,0.311312829022978
20,exact_ortools_vrp,128,success,0.02552199363708496,0.3695753657949289
20,exact_ortools_vrp,129,success,0.027417421340942383,0.3207908619821261
20,exact_ortools_vrp,130,success,0.02509021759033203,0.3885254225189923
20,exact_ortools_vrp,131,success,0.024866104125976562,0.3181764627800324
20,exact_ortools_vrp,132,success,0.0255277156829834,0.3399204603593211
20,exact_ortools_vrp,133,success,0.019366741180419922,0.3093806812740336
20,exact_ortools_vrp,134,success,0.03393721580505371,0.3172039276848478
20,exact_ortools_vrp,135,success,0.033135414123535156,0.33522649789497316
20,exact_ortools_vrp,136,success,0.0312652587890625,0.3826828050088825
20,exact_ortools_vrp,137,success,0.025476932525634766,0.3737698291670388
20,exact_ortools_vrp,138,success,0.024110794067382812,0.33804889664369625
20,exact_ortools_vrp,139,success,0.02354574203491211,0.29631643714783124
20,exact_ortools_vrp,140,success,0.0287625789642334,0.2788706350566434
20,exact_ortools_vrp,141,success,0.04315805435180664,0.34032278005280603
20,exact_ortools_vrp,142,success,0.027921676635742188,0.3620772081911035
20,exact_ortools_vrp,143,success,0.03410935401916504,0.4341308484474613
20,exact_ortools_vrp,144,success,0.022794008255004883,0.2740477753923215
20,exact_ortools_vrp,145,success,0.027403593063354492,0.3022081804941394
20,exact_ortools_vrp,146,success,0.033643484115600586,0.28363241907235887
20,exact_ortools_vrp,147,success,0.03237032890319824,0.33009558353713275
20,exact_ortools_vrp,148,success,0.030308961868286133,0.3205079274110871
20,exact_ortools_vrp,149,success,0.021252870559692383,0.2801607277390528
20,exact_ortools_vrp,150,success,0.026387453079223633,0.34243083512645733
20,exact_ortools_vrp,151,success,0.03643798828125,0.3249076823038516
20,exact_ortools_vrp,152,success,0.026113033294677734,0.27014573774255746
20,exact_ortools_vrp,153,success,0.03043365478515625,0.309590273521393
20,exact_ortools_vrp,154,success,0.027149200439453125,0.41813689674502114
20,exact_ortools_vrp,155,success,0.024439334869384766,0.25396336348000786
20,exact_ortools_vrp,156,success,0.032922983169555664,0.40802277440525947
20,exact_ortools_vrp,157,success,0.0229184627532959,0.31999931101874624
20,exact_ortools_vrp,158,success,0.02664470672607422,0.3749086778850019
20,exact_ortools_vrp,159,success,0.022556781768798828,0.2825371825863031
20,exact_ortools_vrp,160,success,0.0260927677154541,0.45804854591713984
20,exact_ortools_vrp,161,success,0.033156394958496094,0.40486265437664565
20,exact_ortools_vrp,162,success,0.027925491333007812,0.33819178640620706
20,exact_ortools_vrp,163,success,0.023195743560791016,0.2841172502799266
20,exact_ortools_vrp,164,success,0.029697895050048828,0.3088565936597606
20,exact_ortools_vrp,165,success,0.023718833923339844,0.33776941157199947
20,exact_ortools_vrp,166,success,0.031023025512695312,0.3172507373863679
20,exact_ortools_vrp,167,success,0.03131508827209473,0.32533356810003344
20,exact_ortools_vrp,168,success,0.030286788940429688,0.35634410897600327
20,exact_ortools_vrp,169,success,0.04526162147521973,0.36514050979590945
20,exact_ortools_vrp,170,success,0.02871394157409668,0.3808467026142154
20,exact_ortools_vrp,171,success,0.026396512985229492,0.36225956938792014
20,exact_ortools_vrp,172,success,0.026096582412719727,0.32635999054528203
20,exact_ortools_vrp,173,success,0.03125882148742676,0.3546851255069779
20,exact_ortools_vrp,174,success,0.02613234519958496,0.41818778096737547
20,exact_ortools_vrp,175,success,0.03036189079284668,0.38438156090640574
20,exact_ortools_vrp,176,success,0.0209500789642334,0.31381211840369866
20,exact_ortools_vrp,177,success,0.026938676834106445,0.3418432318352313
20,exact_ortools_vrp,178,success,0.024940967559814453,0.3532638325919374
20,exact_ortools_vrp,179,success,0.04721879959106445,0.2940497446363196
20,exact_ortools_vrp,180,success,0.04634809494018555,0.30226201044054923
20,exact_ortools_vrp,181,success,0.05459260940551758,0.3708726398370219
20,exact_ortools_vrp,182,success,0.05118060111999512,0.2952529747810561
20,exact_ortools_vrp,183,success,0.059720754623413086,0.3211976175571607
20,exact_ortools_vrp,184,success,0.03104686737060547,0.2916942341997423
20,exact_ortools_vrp,185,success,0.028595685958862305,0.3498321011335049
20,exact_ortools_vrp,186,success,0.03069448471069336,0.28462551844161077
20,exact_ortools_vrp,187,success,0.028070926666259766,0.3216793582427985
20,exact_ortools_vrp,188,success,0.02948284149169922,0.3280572893713122
20,exact_ortools_vrp,189,success,0.026074886322021484,0.3305531751822979
20,exact_ortools_vrp,190,success,0.029343128204345703,0.2703546036971085
20,exact_ortools_vrp,191,success,0.0194699764251709,0.34380930799118753
20,exact_ortools_vrp,192,success,0.022493362426757812,0.42776791908898215
20,exact_ortools_vrp,193,success,0.027443408966064453,0.28374177888663854
20,exact_ortools_vrp,194,success,0.02309274673461914,0.4129902761054248
20,exact_ortools_vrp,195,success,0.026490449905395508,0.3297982820343283
20,exact_ortools_vrp,196,success,0.02350306510925293,0.34763560200763444
20,exact_ortools_vrp,197,success,0.028239965438842773,0.26884449402130145
20,exact_ortools_vrp,198,success,0.019388437271118164,0.3584949352520298
20,exact_ortools_vrp,199,success,0.019662857055664062,0.2902636545958621
20,exact_ortools_vrp,200,success,0.023421764373779297,0.4066069270481078
20,exact_ortools_vrp,201,success,0.04748964309692383,0.3691956833800602
20,exact_ortools_vrp,202,success,0.03502249717712402,0.28805239482937833
20,exact_ortools_vrp,203,success,0.02613043785095215,0.35336191495285774
20,exact_ortools_vrp,204,success,0.024219751358032227,0.30413508969058906
20,exact_ortools_vrp,205,success,0.03217434883117676,0.42030360231358255
20,exact_ortools_vrp,206,success,0.030919790267944336,0.2952406801619992
20,exact_ortools_vrp,207,success,0.039658546447753906,0.34549501761888646
20,exact_ortools_vrp,208,success,0.02926802635192871,0.31376633796409703
20,exact_ortools_vrp,209,success,0.03105926513671875,0.2941542799476745
20,exact_ortools_vrp,210,success,0.029458999633789062,0.24573760761874688
20,exact_ortools_vrp,211,success,0.03343534469604492,0.32083264328101835
20,exact_ortools_vrp,212,success,0.02974104881286621,0.3659613218135958
20,exact_ortools_vrp,213,success,0.03338217735290527,0.40355187751507315
20,exact_ortools_vrp,214,success,0.02833080291748047,0.33621601709409227
20,exact_ortools_vrp,215,success,0.02466607093811035,0.3286481041736663
20,exact_ortools_vrp,216,success,0.1159367561340332,0.3676443012986132
20,exact_ortools_vrp,217,success,0.06239628791809082,0.28033569272874514
20,exact_ortools_vrp,218,success,0.03416275978088379,0.4169452592264751
20,exact_ortools_vrp,219,success,0.024306297302246094,0.30968314072969005
20,exact_ortools_vrp,220,success,0.021937131881713867,0.3155101274215756
20,exact_ortools_vrp,221,success,0.019243717193603516,0.2868165622097833
20,exact_ortools_vrp,222,success,0.022100210189819336,0.2823562719588129
20,exact_ortools_vrp,223,success,0.04251408576965332,0.29234669413346553
20,exact_ortools_vrp,224,success,0.020421266555786133,0.33364698143511334
20,exact_ortools_vrp,225,success,0.020064353942871094,0.2719613903360703
20,exact_ortools_vrp,226,success,0.01836872100830078,0.34023714283212714
20,exact_ortools_vrp,227,success,0.027280569076538086,0.35776873978895707
20,exact_ortools_vrp,228,success,0.018637418746948242,0.3122717227630873
20,exact_ortools_vrp,229,success,0.019559383392333984,0.34792017346934623
20,exact_ortools_vrp,230,success,0.027975082397460938,0.31425823356286814
20,exact_ortools_vrp,231,success,0.02912759780883789,0.3569853288535851
20,exact_ortools_vrp,232,success,0.029859542846679688,0.37798602666178144
20,exact_ortools_vrp,233,success,0.02495598793029785,0.4466537379813186
20,exact_ortools_vrp,234,success,0.028706073760986328,0.29996376944508213
20,exact_ortools_vrp,235,success,0.028110742568969727,0.3343720370596204
20,exact_ortools_vrp,236,success,0.0339963436126709,0.32490725592419956
20,exact_ortools_vrp,237,success,0.023821115493774414,0.3813134429169927
20,exact_ortools_vrp,238,success,0.03320121765136719,0.42240270865788565
20,exact_ortools_vrp,239,success,0.02722954750061035,0.3621078033737548
20,exact_ortools_vrp,240,success,0.03226971626281738,0.34080526159691915
20,exact_ortools_vrp,241,success,0.02521538734436035,0.3597896863240994
20,exact_ortools_vrp,242,success,0.027441740036010742,0.4478976979529444
20,exact_ortools_vrp,243,success,0.03178143501281738,0.31796690308395836
20,exact_ortools_vrp,244,success,0.0220947265625,0.41777716128020287
20,exact_ortools_vrp,245,success,0.021991968154907227,0.4462282851018647
20,exact_ortools_vrp,246,success,0.03500247001647949,0.4775249653309836
20,exact_ortools_vrp,247,success,0.032247066497802734,0.38663481716560744
20,exact_ortools_vrp,248,success,0.025585412979125977,0.2535679585487941
20,exact_ortools_vrp,249,success,0.027410030364990234,0.39093592123997345
20,exact_ortools_vrp,250,success,0.027713298797607422,0.2749583342137368
20,exact_ortools_vrp,251,success,0.027332544326782227,0.29826741248704386
20,exact_ortools_vrp,252,success,0.02977156639099121,0.3095546901004397
20,exact_ortools_vrp,253,success,0.02444148063659668,0.36741751449206744
20,exact_ortools_vrp,254,success,0.027534008026123047,0.3568353338941066
20,exact_ortools_vrp,255,success,0.02043890953063965,0.330637311503253
20,exact_ortools_vrp,256,success,0.0250399112701416,0.28209671613043824
20,exact_ortools_vrp,257,success,0.02708148956298828,0.3887610867272925
20,exact_ortools_vrp,258,success,0.02599644660949707,0.35881249987718383
20,exact_ortools_vrp,259,success,0.03104686737060547,0.393395950681551
20,exact_ortools_vrp,260,success,0.028865814208984375,0.31372844410937406
20,exact_ortools_vrp,261,success,0.029060840606689453,0.3586758389389145
20,exact_ortools_vrp,262,success,0.02568364143371582,0.33368638747567153
20,exact_ortools_vrp,263,success,0.032415151596069336,0.35534658523214485
20,exact_ortools_vrp,264,success,0.030128955841064453,0.2953325733760924
20,exact_ortools_vrp,265,success,0.024533748626708984,0.3654673260225606
20,exact_ortools_vrp,266,success,0.027631044387817383,0.49997375397868515
20,exact_ortools_vrp,267,success,0.03045511245727539,0.33096490612402285
20,exact_ortools_vrp,268,success,0.030847549438476562,0.30765189175501384
20,exact_ortools_vrp,269,success,0.029761314392089844,0.4155169686174867
20,exact_ortools_vrp,270,success,0.031954050064086914,0.3199356360294248
20,exact_ortools_vrp,271,success,0.033109426498413086,0.3738510448669283
20,exact_ortools_vrp,272,success,0.023436546325683594,0.3096960913446217
20,exact_ortools_vrp,273,success,0.022529125213623047,0.3125955132862085
20,exact_ortools_vrp,274,success,0.02746725082397461,0.3615309124757283
20,exact_ortools_vrp,275,success,0.030933141708374023,0.3518341417342172
20,exact_ortools_vrp,276,success,0.029729366302490234,0.29482538910952616
20,exact_ortools_vrp,277,success,0.027947187423706055,0.3403187206977387
20,exact_ortools_vrp,278,success,0.027565479278564453,0.3024603382221411
20,exact_ortools_vrp,279,success,0.03309917449951172,0.2521448001150547
20,exact_ortools_vrp,280,success,0.024413585662841797,0.38472526936068013
20,exact_ortools_vrp,281,success,0.025486469268798828,0.35059181511638654
20,exact_ortools_vrp,282,success,0.03206753730773926,0.3444795340915786
20,exact_ortools_vrp,283,success,0.028397560119628906,0.30384348859922433
20,exact_ortools_vrp,284,success,0.026566028594970703,0.34120681058924135
20,exact_ortools_vrp,285,success,0.03464460372924805,0.27561649226949925
20,exact_ortools_vrp,286,success,0.028501033782958984,0.4189858332985573
20,exact_ortools_vrp,287,success,0.026684045791625977,0.32974979239068825
20,exact_ortools_vrp,288,success,0.03080272674560547,0.3317098195055715
20,exact_ortools_vrp,289,success,0.028265953063964844,0.30801556503879796
20,exact_ortools_vrp,290,success,0.026021957397460938,0.2777042367485313
20,exact_ortools_vrp,291,success,0.04243779182434082,0.3731071348597552
20,exact_ortools_vrp,292,success,0.023235321044921875,0.38564283558745466
20,exact_ortools_vrp,293,success,0.03513145446777344,0.2686778651616435
20,exact_ortools_vrp,294,success,0.029894590377807617,0.411249121766872
20,exact_ortools_vrp,295,success,0.029554128646850586,0.3073874996163416
20,exact_ortools_vrp,296,success,0.032750606536865234,0.2807146526187707
20,exact_ortools_vrp,297,success,0.029595136642456055,0.32591085632110056
20,exact_ortools_vrp,298,success,0.02378988265991211,0.32881423457149295
20,exact_ortools_vrp,299,success,0.03127241134643555,0.3155647756768286
20,exact_ortools_vrp,300,success,0.02498006820678711,0.37267306078412965
20,exact_ortools_vrp,301,success,0.02425980567932129,0.26616758750671854
20,exact_ortools_vrp,302,success,0.024033784866333008,0.4280759950570192
20,exact_ortools_vrp,303,success,0.023333311080932617,0.29799694443374886
20,exact_ortools_vrp,304,success,0.03258228302001953,0.32816358580564
20,exact_ortools_vrp,305,success,0.028985977172851562,0.3987883466098652
20,exact_ortools_vrp,306,success,0.029883861541748047,0.2711149624202572
20,exact_ortools_vrp,307,success,0.026680946350097656,0.35580369370757436
20,exact_ortools_vrp,308,success,0.022479772567749023,0.29373504455352867
20,exact_ortools_vrp,309,success,0.023900985717773438,0.2770589479417238
20,exact_ortools_vrp,310,success,0.023390769958496094,0.2736208420693271
20,exact_ortools_vrp,311,success,0.030323505401611328,0.35941389278831065
20,exact_ortools_vrp,312,success,0.03522324562072754,0.27045472355754197
20,exact_ortools_vrp,313,success,0.020980119705200195,0.3075732646675012
20,exact_ortools_vrp,314,success,0.02713918685913086,0.3072094633879743
20,exact_ortools_vrp,315,success,0.02236175537109375,0.29653836074964407
20,exact_ortools_vrp,316,success,0.025468111038208008,0.3366485600004785
20,exact_ortools_vrp,317,success,0.029267072677612305,0.32134571647266064
20,exact_ortools_vrp,318,success,0.02830195426940918,0.39491404036774647
20,exact_ortools_vrp,319,success,0.023793935775756836,0.3464198430520322
20,exact_ortools_vrp,320,success,0.024869918823242188,0.37886845944656183
20,exact_ortools_vrp,321,success,0.02512669563293457,0.29556178222470153
20,exact_ortools_vrp,322,success,0.027345895767211914,0.32265115551865636
20,exact_ortools_vrp,323,success,0.024767637252807617,0.2867787977622391
20,exact_ortools_vrp,324,success,0.029894113540649414,0.28534636808412056
20,exact_ortools_vrp,325,success,0.030808448791503906,0.34025228029250376
20,exact_ortools_vrp,326,success,0.02881479263305664,0.332264812548248
20,exact_ortools_vrp,327,success,0.03971457481384277,0.3527870774314867
20,exact_ortools_vrp,328,success,0.022096872329711914,0.3530835094393575
20,exact_ortools_vrp,329,success,0.02316904067993164,0.31900931295904156
20,exact_ortools_vrp,330,success,0.03127121925354004,0.4066588042599359
20,exact_ortools_vrp,331,success,0.028975725173950195,0.31067845802771266
20,exact_ortools_vrp,332,success,0.031917572021484375,0.42056079835990934
20,exact_ortools_vrp,333,success,0.026238203048706055,0.30461722497546384
20,exact_ortools_vrp,334,success,0.027347326278686523,0.2917735146952716
20,exact_ortools_vrp,335,success,0.03443765640258789,0.3147436938120326
20,exact_ortools_vrp,336,success,0.027631759643554688,0.3692859814939033
20,exact_ortools_vrp,337,success,0.02483344078063965,0.3882216280922613
20,exact_ortools_vrp,338,success,0.03183746337890625,0.3401576284163597
