epoch,train_loss,train_cost,learning_rate,temperature,val_cost
1,6.745550632476807,0.491919398680542,5e-05,3.5,
2,-2.5765323638916016,0.4946214799121594,4.998791072896043e-05,3.5,
3,-1.871793508529663,0.4992213880332456,4.995165484649266e-05,3.5,
4,-2.3438591957092285,0.5062359501425668,4.989126813277547e-05,3.5,0.4636548755848139
5,-2.0357468128204346,0.5053653406552279,4.980681018220472e-05,3.5,
6,-2.064845561981201,0.49215473961611567,4.9698364344580884e-05,3.5,
7,-2.7996511459350586,0.49015413053124457,4.9566037642852884e-05,3.5,
8,-2.532970428466797,0.49974970607607816,4.940996066749932e-05,3.5,0.4560651325970957
9,-2.612964630126953,0.49314236863286354,4.923028744765147e-05,3.5,
10,-2.765627145767212,0.5013698075492762,4.9027195299085115e-05,3.5,
11,-2.796220541000366,0.5049117702568866,4.880088464923127e-05,3.5,
12,-2.6843385696411133,0.49232759950565314,4.855157883937853e-05,3.5,0.45687195529106484
13,-2.4851202964782715,0.4879848625097008,4.8279523904262166e-05,3.5,
14,-2.4392290115356445,0.48944730811024106,4.798498832925754e-05,3.5,
15,-2.4727511405944824,0.5032338804468965,4.766826278541748e-05,3.5,
16,-2.554426908493042,0.49953896984937524,4.7329659842615016e-05,3.5,0.45612432046128437
17,-2.419621229171753,0.5045118109855478,4.696951366107466e-05,3.5,
18,-2.302560567855835,0.49505037485460585,4.658817966159662e-05,2.625,
19,-2.5949010848999023,0.5007464280862685,4.618603417479937e-05,2.625,
20,-2.019629955291748,0.47781624098710607,4.576347406972677e-05,2.625,0.4562724352980806
21,-2.052567481994629,0.48495557488209207,4.532091636218622e-05,2.625,
22,-2.026573657989502,0.4895302169315344,4.4858797803204417e-05,1.96875,
23,-2.151686906814575,0.4931542201108929,4.437757444800684e-05,1.96875,
24,-2.0698750019073486,0.4899946309298317,4.387772120594626e-05,1.96875,0.455913660405707
25,-2.1098504066467285,0.48741247396311027,4.335973137182458e-05,1.96875,
26,-2.226292371749878,0.4925625219263412,4.282411613907041e-05,2.4609375,
27,-2.1909098625183105,0.4778076432563879,4.227140409525287e-05,2.4609375,
28,-2.275829553604126,0.4819590343268871,4.1702140700429465e-05,2.4609375,0.4575686282989315
29,-2.2407031059265137,0.5054711694797692,4.111688774884289e-05,2.4609375,
30,-2.2365188598632812,0.5000714329329102,4.051622281449792e-05,3.076171875,
31,-2.4343905448913574,0.49966454171364183,3.990073868116559e-05,3.076171875,
32,-2.1385602951049805,0.4850762672905192,3.92710427573772e-05,3.076171875,0.45760123748330794
33,-2.083199977874756,0.4915792979414394,3.862775647698541e-05,3.076171875,
34,-2.1662447452545166,0.4913646252089384,3.7971514685884094e-05,3.5,
35,-2.1545698642730713,0.4864552235750728,3.730296501549202e-05,3.5,
36,-2.2752180099487305,0.4932559868722067,3.662276724361889e-05,3.5,0.4579549926454475
37,-2.1120822429656982,0.47703524747746473,3.593159264334427e-05,3.5,
38,-2.031827211380005,0.4827868946174457,3.5230123320552114e-05,3.5,
39,-2.221709966659546,0.5018537549416247,3.4519051540774604e-05,3.5,
40,-2.1590099334716797,0.5029169455781293,3.379907904600963e-05,3.5,0.45733989320172486
41,-2.052431106567383,0.48237189176300005,3.3070916362186205e-05,3.5,
42,-2.2174203395843506,0.5022687743702945,3.2335282097961115e-05,2.625,
43,-1.900029182434082,0.4948754950265051,3.159290223553893e-05,2.625,
44,-1.9849543571472168,0.4934493556562773,3.084450941421529e-05,2.625,0.45733033812165236
45,-1.7815792560577393,0.4846420936185473,3.0090842207350252e-05,2.625,
46,-1.868180513381958,0.4938321094123934,2.9332644393485654e-05,1.96875,
47,-1.7737345695495605,0.48292865949761576,2.8570664222325456e-05,1.96875,
48,-1.7145349979400635,0.48964728642258115,2.7805653676303596e-05,1.96875,0.45715347566314724
49,-1.5065875053405762,0.47234490437690896,2.7038367728468177e-05,1.96875,
50,-1.7770153284072876,0.49222231979979647,2.6269563597414142e-05,2.4609375,
51,-1.8506604433059692,0.4859930703714853,2.55e-05,2.4609375,
52,-1.6444528102874756,0.49180889179389586,2.4730436402585857e-05,2.4609375,0.45869083543292266
53,-1.7921801805496216,0.4852700867599974,2.3961632271531822e-05,2.4609375,
54,-1.6239523887634277,0.48270319003052126,2.3194346323696397e-05,3.076171875,
55,-1.5842645168304443,0.484969214051303,2.2429335777674547e-05,3.076171875,
56,-1.8996927738189697,0.48866683155708907,2.1667355606514343e-05,3.076171875,0.4588302887517947
57,-1.6515264511108398,0.4923240907942856,2.0909157792649748e-05,3.076171875,
58,-1.804490089416504,0.5020266706594918,2.0155490585784716e-05,3.5,
59,-1.74454927444458,0.4809236950092161,1.9407097764461056e-05,3.5,
60,-1.9155385494232178,0.5040385336834077,1.8664717902038885e-05,3.5,0.46096224310845335
61,-1.4937994480133057,0.49262069369709005,1.7929083637813794e-05,3.5,
62,-1.5227007865905762,0.48949506189531977,1.720092095399036e-05,3.5,
63,-1.4430365562438965,0.49122581542445726,1.6480948459225395e-05,3.5,
64,-1.5554667711257935,0.4804398265821719,1.576987667944787e-05,3.5,0.46106000735732877
65,-1.527955412864685,0.4887811595467058,1.5068407356655717e-05,3.5,
66,-1.567288875579834,0.49193494447985836,1.4377232756381102e-05,3.5,
67,-1.4014102220535278,0.47739312660360655,1.369703498450797e-05,3.5,
68,-1.402991771697998,0.4855241982072358,1.30284853141159e-05,3.5,0.46072394068239353
69,-1.5325100421905518,0.4836458145720778,1.2372243523014575e-05,3.5,
70,-1.2309484481811523,0.48841361359758373,1.1728957242622797e-05,3.5,
71,-1.4036709070205688,0.49352642324604207,1.109926131883441e-05,3.5,
72,-1.284346103668213,0.4884927858886369,1.0483777185502072e-05,3.5,0.4607616638579968
73,-1.3709042072296143,0.48683133570296844,9.8831122511571e-06,3.5,
74,-1.0585466623306274,0.4810402155027558,9.297859299570533e-06,2.625,
75,-1.3295509815216064,0.49224576169719325,8.728595904747126e-06,2.625,
76,-1.1788443326950073,0.48884621629696173,8.175883860929586e-06,2.625,0.45912297612614006
77,-1.1616806983947754,0.4890415123938111,7.640268628175422e-06,2.625,
78,-1.0765384435653687,0.4829951249471156,7.1222787940537395e-06,1.96875,
79,-1.1492787599563599,0.49246615335185856,6.622425551993166e-06,1.96875,
80,-1.0414791107177734,0.48498180108030364,6.141202196795585e-06,1.96875,0.45931842576778614
81,-1.0211251974105835,0.4800746471576477,5.67908363781379e-06,1.96875,
82,-0.9547467827796936,0.47955584255639916,5.236525930273237e-06,1.4765625,
83,-0.8285959959030151,0.48932817631995196,4.813965825200636e-06,1.4765625,
