epoch,train_loss,train_cost,learning_rate,temperature,val_cost
1,-5.3940839767456055,0.4927164102632922,5e-05,3.5,
2,-5.386943817138672,0.49659130227928855,4.998791072896043e-05,3.5,
3,-5.085455894470215,0.4949319851013797,4.995165484649266e-05,3.5,
4,-5.030974388122559,0.5016576078081,4.989126813277547e-05,3.5,0.48567900284729604
5,-5.104484558105469,0.5013862180394608,4.980681018220472e-05,3.5,
6,-5.039665222167969,0.4899491261994581,4.9698364344580884e-05,3.5,
7,-5.183361053466797,0.4905089665151484,4.9566037642852884e-05,3.5,
8,-5.222188949584961,0.49954158538639326,4.940996066749932e-05,3.5,0.46777158070176783
9,-4.746324062347412,0.4881467876642035,4.923028744765147e-05,3.5,
10,-4.90385103225708,0.4990279455398715,4.9027195299085115e-05,3.5,
11,-4.997374057769775,0.4982263478724178,4.880088464923127e-05,3.5,
12,-5.194151878356934,0.492136203956581,4.855157883937853e-05,3.5,0.4657432940481816
13,-4.730363845825195,0.4872187904123906,4.8279523904262166e-05,3.5,
14,-4.673943042755127,0.4877602071278334,4.798498832925754e-05,3.5,
15,-4.83131742477417,0.5002417961480181,4.766826278541748e-05,3.5,
16,-4.808925628662109,0.49753104351398825,4.7329659842615016e-05,3.5,0.46780123229919013
17,-4.933645725250244,0.503844334236145,4.696951366107466e-05,3.5,
18,-4.9949870109558105,0.4964535344118889,4.658817966159662e-05,2.625,
19,-4.939862251281738,0.49817385599710695,4.618603417479937e-05,2.625,
20,-4.56574010848999,0.4808200878092258,4.576347406972677e-05,2.625,0.46505460410836064
21,-4.5789031982421875,0.4867139963378311,4.532091636218622e-05,2.625,
22,-4.835059642791748,0.4955062151607826,4.4858797803204417e-05,3.28125,
23,-4.805727958679199,0.49439761451948416,4.437757444800684e-05,3.28125,
24,-4.663230895996094,0.49136859924248383,4.387772120594626e-05,3.28125,0.46823465430336375
25,-4.62510871887207,0.48923019623325376,4.335973137182458e-05,3.28125,
26,-4.4981465339660645,0.49354996158559356,4.282411613907041e-05,3.5,
27,-4.516011714935303,0.48059129398471145,4.227140409525287e-05,3.5,
28,-4.574329853057861,0.48306984649739637,4.1702140700429465e-05,3.5,0.47144481425211393
29,-4.781007766723633,0.5051483455478483,4.111688774884289e-05,3.5,
30,-4.679537296295166,0.5004443935690106,4.051622281449792e-05,3.5,
31,-4.596416473388672,0.49551480309616924,3.990073868116559e-05,3.5,
32,-4.650656700134277,0.4853258966720352,3.92710427573772e-05,3.5,0.46987673217381787
33,-4.598160266876221,0.4892139772772076,3.862775647698541e-05,3.5,
34,-4.701780319213867,0.4938512497126609,3.7971514685884094e-05,3.5,
35,-4.433050632476807,0.4842271679031401,3.730296501549202e-05,3.5,
36,-4.445294380187988,0.48971379785566094,3.662276724361889e-05,3.5,0.47001340981627365
37,-4.251237869262695,0.473881009998394,3.593159264334427e-05,3.5,
38,-4.27571964263916,0.48157593164378354,3.5230123320552114e-05,2.625,
39,-4.1993937492370605,0.49255819027841125,3.4519051540774604e-05,2.625,
40,-4.366438865661621,0.4999423315997121,3.379907904600963e-05,2.625,0.4684302933707207
41,-3.965902090072632,0.4772209301768877,3.3070916362186205e-05,2.625,
42,-4.115872859954834,0.48989166647343574,3.2335282097961115e-05,1.96875,
43,-4.003601551055908,0.4881995061223607,3.159290223553893e-05,1.96875,
44,-4.120654106140137,0.49297208518797075,3.084450941421529e-05,1.96875,0.4692718291607132
45,-3.847601890563965,0.4826092926708508,3.0090842207350252e-05,1.96875,
46,-4.118032455444336,0.4951839899870092,2.9332644393485654e-05,1.4765625,
47,-3.851738452911377,0.48004775899292534,2.8570664222325456e-05,1.4765625,
48,-3.7535388469696045,0.4883801404156102,2.7805653676303596e-05,1.4765625,0.46649632189248286
49,-3.8798513412475586,0.47377320709318743,2.7038367728468177e-05,1.4765625,
50,-3.9321506023406982,0.48853162638869385,2.6269563597414142e-05,1.107421875,
51,-3.7000012397766113,0.48350633146823474,2.55e-05,1.107421875,
52,-3.9569151401519775,0.4933257415524948,2.4730436402585857e-05,1.107421875,0.4659931210955825
53,-3.663353443145752,0.47928585843304383,2.3961632271531822e-05,1.107421875,
54,-3.4606916904449463,0.474965711344471,2.3194346323696397e-05,0.83056640625,
55,-3.515230655670166,0.4785452151009863,2.2429335777674547e-05,0.83056640625,
56,-3.3757636547088623,0.47422563459897926,2.1667355606514343e-05,0.83056640625,0.4687978002400566
57,-3.521578311920166,0.4845932943593912,2.0909157792649748e-05,0.83056640625,
58,-3.711630344390869,0.49393021849778646,2.0155490585784716e-05,1.0382080078125,
59,-3.7970283031463623,0.479877863545804,1.9407097764461056e-05,1.0382080078125,
60,-3.8564586639404297,0.49851681537499565,1.8664717902038885e-05,1.0382080078125,0.47082458707822283
61,-3.935699462890625,0.4943717521179635,1.7929083637813794e-05,1.0382080078125,
62,-4.07889461517334,0.49444223113857266,1.720092095399036e-05,1.297760009765625,
63,-4.030488967895508,0.49635563186305826,1.6480948459225395e-05,1.297760009765625,
64,-3.866462230682373,0.4798573354297925,1.576987667944787e-05,1.297760009765625,0.47027302792300474
65,-3.8222272396087646,0.4882946173028853,1.5068407356655717e-05,1.297760009765625,
66,-3.9416940212249756,0.4932638363046181,1.4377232756381102e-05,1.6222000122070312,
67,-3.6676833629608154,0.4802682610029111,1.369703498450797e-05,1.6222000122070312,
68,-3.91945219039917,0.49106354719898443,1.30284853141159e-05,1.6222000122070312,0.4721172222179201
69,-3.957414150238037,0.48626458895652347,1.2372243523014575e-05,1.6222000122070312,
70,-3.9788694381713867,0.4913453575201769,1.1728957242622797e-05,2.027750015258789,
71,-4.017078876495361,0.49762159593037847,1.109926131883441e-05,2.027750015258789,
72,-3.8639564514160156,0.4919574818267426,1.0483777185502072e-05,2.027750015258789,0.46809405943308463
73,-3.995151996612549,0.4930137047695155,9.8831122511571e-06,2.027750015258789,
74,-3.8443620204925537,0.48792763175594506,9.297859299570533e-06,1.5208125114440918,
75,-3.8193695545196533,0.49247275922411826,8.728595904747126e-06,1.5208125114440918,
76,-3.785749912261963,0.4893826488349564,8.175883860929586e-06,1.5208125114440918,0.4700745630158242
77,-3.864847421646118,0.4921592888851962,7.640268628175422e-06,1.5208125114440918,
78,-3.4263689517974854,0.48805830761773905,7.1222787940537395e-06,1.1406093835830688,
79,-3.4396309852600098,0.4929562558563346,6.622425551993166e-06,1.1406093835830688,
80,-3.1393327713012695,0.48347749051358657,6.141202196795585e-06,1.1406093835830688,0.4695329881956626
81,-3.3750383853912354,0.4808239668464057,5.67908363781379e-06,1.1406093835830688,
82,-3.5128564834594727,0.48293480182353465,5.236525930273237e-06,1.425761729478836,
83,-3.616053342819214,0.49543866128985664,4.813965825200636e-06,1.425761729478836,
84,-3.4319863319396973,0.48407280385540497,4.411820338403378e-06,1.425761729478836,0.4720015289157422
85,-3.553462505340576,0.48920122219408335,4.030486338925343e-06,1.425761729478836,
86,-3.400120258331299,0.48865928972603023,3.67034015738499e-06,1.782202161848545,
87,-3.291605234146118,0.4855776998751672,3.331737214582527e-06,1.782202161848545,
88,-3.685887575149536,0.4898853917136002,3.0150116707424685e-06,1.782202161848545,0.47093606041335445
89,-3.7215778827667236,0.490387456626277,2.720476095737843e-06,1.782202161848545,
90,-3.5737380981445312,0.4848859687735808,2.448421160621477e-06,2.2277527023106813,
91,-3.5079891681671143,0.48909990638107814,2.199115350768739e-06,2.2277527023106813,
92,-3.407335042953491,0.49094323563274284,1.9728047009148977e-06,2.2277527023106813,0.470871062100937
93,-3.4615845680236816,0.48374711778112633,1.7697125523485413e-06,2.2277527023106813,
94,-2.9466209411621094,0.4785425157815566,1.5900393325006905e-06,1.670814526733011,
95,-3.138007164001465,0.4724166582130586,1.4339623571471263e-06,1.670814526733011,
96,-3.490922451019287,0.49285175659812275,1.3016356554191274e-06,1.670814526733011,0.4695559426599033
97,-3.056800365447998,0.480858338202474,1.1931898177952948e-06,1.670814526733011,
98,-3.5618813037872314,0.49210853186469355,1.1087318672245401e-06,1.2531108950497583,
99,-3.316166400909424,0.49539655817798345,1.0483451535073469e-06,1.2531108950497583,
100,-3.419341564178467,0.48782585333107553,1.0120892710395759e-06,1.2531108950497583,0.4685543491085384
101,-3.1362905502319336,0.49342371844045163,1e-06,1.2531108950497583,0.47346341543820536
